ticker,name,sector,index,market_cap,price,avg_dollar_volume,exchange,quote_type,profit_margin,free_cash_flow,roe,revenue_growth,current_ratio,exclusion_reasons
AXP,American Express,Financials,S&P 500,232360591360,344.08,812169872.8,NYQ,EQUITY,0.16141,,0.34377,0.128,1.553,free_cash_flow=None
AIG,American International Group,Financials,S&P 500,39813087232,76.14,260560216.8,NYQ,EQUITY,0.11089,7365000192.0,0.0722,0.005,0.612,roe=0.0722; current_ratio=0.612
AMT,American Tower,Real Estate,S&P 500,79413567488,170.43,484527377.1,NYQ,EQUITY,0.31083,2920012544.0,0.33914003,0.047,0.352,current_ratio=0.352
AWK,American Water Works,Utilities,S&P 500,26812514304,134.92,333951285.6,NYQ,EQUITY,0.21347,-1785374976.0,0.10095,0.062,0.523,free_cash_flow=-1785374976; current_ratio=0.523
ADI,Analog Devices,Information Technology,S&P 500,187250868224,384.43,1380280537.8,NMS,EQUITY,0.26007998,3868954624.0,0.09639,0.372,1.752,roe=0.09639
APA,APA Corporation,Energy,S&P 500,14003550208,39.97,254594510.8,NMS,EQUITY,0.19564,2146749952.0,0.26659,0.092,0.946,current_ratio=0.946
APO,Apollo Global Management,Financials,S&P 500,81855184896,138.61,612521748.3000001,NYQ,EQUITY,0.052670002,,0.11412,0.638,1.948,free_cash_flow=None
APTV,Aptiv,Consumer Discretionary,S&P 500,10259362816,48.48,291315835.2,NYQ,EQUITY,0.010720001,1615874944.0,0.05158,0.023,2.018,roe=0.05158
ACGL,Arch Capital Group,Financials,S&P 500,33175889920,97.29,164746021.5,NMS,EQUITY,0.24396999,4302125056.0,0.19936001,-0.105,0.589,revenue_growth=-0.105; current_ratio=0.589
ADM,Archer Daniels Midland,Consumer Staples,S&P 500,38426394624,79.73,369991848.8,NYQ,EQUITY,0.021559998,1164625024.0,0.07642,0.072,1.389,roe=0.07642
ARES,Ares Management,Financials,S&P 500,46953668608,142.35,377106502.5,NYQ,EQUITY,0.10628,2159716096.0,0.14941,0.058,0.544,current_ratio=0.544
AJG,Arthur J. Gallagher & Co.,Financials,S&P 500,65484869632,255.46,368897013.0,NYQ,EQUITY,0.10378,2082300032.0,0.06722,0.309,1.053,roe=0.06722
AIZ,Assurant,Financials,S&P 500,13865896960,281.12,127487920.0,NYQ,EQUITY,0.07903,2149574912.0,0.18341999,0.094,0.382,current_ratio=0.382
T,AT&T,Communication Services,S&P 500,166170361856,24.25,1156068310.0,NYQ,EQUITY,0.16943,10142000128.0,0.18339,0.023,0.971,current_ratio=0.971
ATO,Atmos Energy,Utilities,S&P 500,28658769920,169.59,182405916.3,NYQ,EQUITY,0.28496,-2220956928.0,0.09792,0.048,0.814,free_cash_flow=-2220956928; roe=0.09792; current_ratio=0.814
ADSK,Autodesk,Information Technology,S&P 500,52682850304,249.51,457958139.3,NMS,EQUITY,0.19488001,3060999936.0,0.50396,0.184,0.835,current_ratio=0.835
AZO,AutoZone,Consumer Discretionary,S&P 500,49724911616,3045.87,461571139.8,NYQ,EQUITY,0.12399,903784256.0,,0.084,0.89,roe=None; current_ratio=0.89
AVB,AvalonBay Communities,Real Estate,S&P 500,25673646080,179.79,162673992.0,NYQ,EQUITY,0.33321998,1409144064.0,0.08487,0.023,0.338,roe=0.08487; current_ratio=0.338
AXON,Axon Enterprise,Industrials,S&P 500,48724578304,599.78,712448673.0,NMS,EQUITY,0.06191,222160000.0,0.06221,0.353,2.149,roe=0.06221
BKR,Baker Hughes,Energy,S&P 500,63809085440,64.28,419143525.2,NMS,EQUITY,0.111669995,4415000064.0,0.16463,-0.024,2.095,revenue_growth=-0.024
BAC,Bank of America,Financials,S&P 500,453200019456,64.81,1655421738.9,NYQ,EQUITY,0.29524,,0.111990005,0.168,,free_cash_flow=None; current_ratio=None
BAX,Baxter International,Health Care,S&P 500,13933042688,26.95,268919766.5,NYQ,EQUITY,-0.09268,1000374976.0,-0.14371,0.053,1.946,profit_margin=-0.09268; roe=-0.14371
BDX,Becton Dickinson,Health Care,S&P 500,50004770816,183.58,374840987.2000001,NYQ,EQUITY,0.0419,4478374912.0,0.06607,0.054,0.865,roe=0.06607; current_ratio=0.865
TECH,Bio-Techne,Health Care,S&P 500,11254204416,72.23,253118478.2,NMS,EQUITY,0.14968,224372368.0,0.09032,0.013,4.547,roe=0.09032
BIIB,Biogen,Health Care,S&P 500,30861377536,208.87,190911357.4,NMS,EQUITY,0.083229996,1266987520.0,0.04575,0.034,1.865,roe=0.04575
BX,Blackstone Inc.,Financials,S&P 500,175003549696,146.41,739090856.9,NYQ,EQUITY,0.22728,,0.31374002,0.286,0.872,free_cash_flow=None; current_ratio=0.872
XYZ,"Block, Inc.",Financials,S&P 500,47030231040,78.28,435675168.0,NYQ,EQUITY,0.01426,-27105876.0,0.01612,0.093,2.209,free_cash_flow=-27105876; roe=0.01612
BNY,BNY Mellon,Financials,S&P 500,110548672512,162.93,414953382.6,NYQ,EQUITY,0.29413998,,0.14124,0.131,,free_cash_flow=None; current_ratio=None
BKNG,Booking Holdings,Consumer Discretionary,S&P 500,164475699200,212.26,1391406752.0,NMS,EQUITY,0.25527,7725875200.0,,0.081,1.094,roe=None
BLDR,Builders FirstSource,Industrials,S&P 500,7791059968,72.41,176093879.0,NYQ,EQUITY,0.0070999996,464577120.0,0.02506,-0.088,1.789,roe=0.02506; revenue_growth=-0.088
BG,Bunge Global,Consumer Staples,S&P 500,21469310976,111.75,173380125.0,NYQ,EQUITY,0.01097,-6475375104.0,0.071779996,0.883,1.567,free_cash_flow=-6475375104; roe=0.071779996
BXP,"BXP, Inc.",Real Estate,S&P 500,12290620416,67.95,88636018.5,NYQ,EQUITY,0.09304,880636864.0,0.05308,0.037,0.506,roe=0.05308; current_ratio=0.506
CPT,Camden Property Trust,Real Estate,S&P 500,10896454656,108.38,112032406.0,NYQ,EQUITY,0.20622,139679632.0,0.07885,-0.008,0.352,roe=0.07885; revenue_growth=-0.008; current_ratio=0.352
COF,Capital One,Financials,S&P 500,136466948096,222.44,698588390.8,NYQ,EQUITY,0.21867001,,0.09031,11.11,,free_cash_flow=None; roe=0.09031; current_ratio=None
CAH,Cardinal Health,Health Care,S&P 500,54459932672,234.16,494344542.4,NYQ,EQUITY,0.00674,4752500224.0,,0.058,0.883,roe=None; current_ratio=0.883
CCL,Carnival Corporation,Consumer Discretionary,S&P 500,37898190848,27.67,480549593.9,NYQ,EQUITY,0.11237001,1899374976.0,0.26689,0.053,0.334,current_ratio=0.334
CARR,Carrier Global,Industrials,S&P 500,52393013248,63.08,405256829.2,NYQ,EQUITY,0.055180002,861750016.0,0.08966,0.039,1.02,roe=0.08966
COR,Cencora,Health Care,S&P 500,59952173056,314.17,576511375.1,NYQ,EQUITY,0.00789,2043314048.0,0.96871,0.051,0.935,current_ratio=0.935
CNC,Centene Corporation,Health Care,S&P 500,33132244992,67.07,332555193.1,NYQ,EQUITY,-0.02829,9639624704.0,-0.20358999,0.046,1.145,profit_margin=-0.02829; roe=-0.20358999
CNP,CenterPoint Energy,Utilities,S&P 500,26697930752,40.53,291634425.6,NYQ,EQUITY,0.11611,-5191875072.0,0.09825,0.107,1.123,free_cash_flow=-5191875072; roe=0.09825
CRL,Charles River Laboratories,Health Care,S&P 500,13575502848,284.37,292210080.9,NYQ,EQUITY,-0.05963,468856000.0,-0.07516,-0.027,1.348,profit_margin=-0.05963; roe=-0.07516; revenue_growth=-0.027
SCHW,Charles Schwab Corporation,Financials,S&P 500,189085564928,109.34,775028161.6,NYQ,EQUITY,0.38793,,0.20273,0.209,0.655,free_cash_flow=None; current_ratio=0.655
CHTR,Charter Communications,Communication Services,S&P 500,20246274048,150.22,341383963.2,NMS,EQUITY,0.09052,2198374912.0,0.27201998,-0.017,0.361,revenue_growth=-0.017; current_ratio=0.361
CMG,Chipotle Mexican Grill,Consumer Discretionary,S&P 500,41303240704,32.64,743878329.6,NYQ,EQUITY,0.114250004,1116464384.0,0.49560001,0.093,0.715,current_ratio=0.715
CB,Chubb Limited,Financials,S&P 500,132456660992,343.33,483188908.8,NYQ,EQUITY,0.18070999,10488000512.0,0.14822,0.061,0.41,current_ratio=0.41
CI,Cigna,Health Care,S&P 500,73302949888,277.41,658499213.4000001,NYQ,EQUITY,0.022720002,7980125184.0,0.16758,0.067,0.846,current_ratio=0.846
CSCO,Cisco,Information Technology,S&P 500,488264925184,123.88,2607392792.4,NMS,EQUITY,0.20951,11568000000.0,0.27319,0.176,0.931,current_ratio=0.931
C,Citigroup,Financials,S&P 500,230781763584,137.58,1232503551.0,NYQ,EQUITY,0.21832001,,0.08529,0.155,,free_cash_flow=None; roe=0.08529; current_ratio=None
CFG,Citizens Financial Group,Financials,S&P 500,31129178112,73.91,234234093.8,NYQ,EQUITY,0.26051,,0.08270001,0.147,,free_cash_flow=None; roe=0.08270001; current_ratio=None
CLX,Clorox,Consumer Staples,S&P 500,12789663744,105.76,319215408.0,NYQ,EQUITY,0.087349996,110375000.0,1.6376,-0.02,0.658,revenue_growth=-0.02; current_ratio=0.658
CMS,CMS Energy,Utilities,S&P 500,21630550016,70.02,285890959.8,NYQ,EQUITY,0.11642,-2198874880.0,0.09158,-0.005,0.936,free_cash_flow=-2198874880; roe=0.09158; revenue_growth=-0.005; current_ratio=0.936
COHR,Coherent Corp.,Information Technology,S&P 500,69577170944,355.64,2773839074.8,NYQ,EQUITY,0.07102,-197631744.0,0.04718,0.205,3.05,free_cash_flow=-197631744; roe=0.04718
COIN,Coinbase,Financials,S&P 500,39322255360,149.04,1268132176.8,NMS,EQUITY,-0.16344,2668452864.0,-0.07847,-0.173,2.423,profit_margin=-0.16344; roe=-0.07847; revenue_growth=-0.173
CMCSA,Comcast,Communication Services,S&P 500,90383769600,25.47,676415195.1,NMS,EQUITY,0.08966,12697624576.0,0.114879996,-0.012,0.796,revenue_growth=-0.012; current_ratio=0.796
ED,Consolidated Edison,Utilities,S&P 500,39860129792,107.78,258031786.8,NYQ,EQUITY,0.12533,-844875008.0,0.08962,0.132,1.268,free_cash_flow=-844875008; roe=0.08962
STZ,Constellation Brands,Consumer Staples,S&P 500,22880952320,133.96,219162578.8,NYQ,EQUITY,0.20143999,2210487552.0,0.2369,-0.033,0.913,revenue_growth=-0.033; current_ratio=0.913
CEG,Constellation Energy,Utilities,S&P 500,98738380800,278.68,820941117.6,NMS,EQUITY,0.110810004,-6625124864.0,0.15055001,0.23,1.455,free_cash_flow=-6625124864
COO,Cooper Companies (The),Health Care,S&P 500,14964700160,76.73,159016019.3,NMS,EQUITY,0.05573,424275008.0,0.02853,0.079,1.274,roe=0.02853
CPAY,Corpay,Financials,S&P 500,26899425280,409.68,262895752.8,NYQ,EQUITY,0.22723,1946175872.0,0.29215,0.215,0.972,current_ratio=0.972
CTVA,Corteva,Materials,S&P 500,50393317376,75.53,461362164.9,NYQ,EQUITY,0.056649998,2417250048.0,0.04256,-0.012,1.516,roe=0.04256; revenue_growth=-0.012
CSGP,CoStar Group,Real Estate,S&P 500,12358526976,30.5,205347655.0,NMS,EQUITY,0.02081,412700000.0,0.00894,0.184,2.214,roe=0.00894
CRWD,CrowdStrike,Information Technology,S&P 500,225829535744,221.78,1708985670.6,NMS,EQUITY,-0.00598,1926365056.0,-0.0024899999,0.256,1.531,profit_margin=-0.00598; roe=-0.0024899999
CCI,Crown Castle,Real Estate,S&P 500,31470938112,73.97,313730440.4,NYQ,EQUITY,0.20716,1036249984.0,,-0.049,0.522,roe=None; revenue_growth=-0.049; current_ratio=0.522
CSX,CSX Corporation,Industrials,S&P 500,92771942400,50.08,575773766.4,NMS,EQUITY,0.22208999,1953250048.0,0.24357,0.101,0.82,current_ratio=0.82
CVS,CVS Health,Health Care,S&P 500,121144074240,94.72,870682342.4,NYQ,EQUITY,0.011849999,8076000256.0,0.06205,0.071,0.866,roe=0.06205; current_ratio=0.866
DHR,Danaher Corporation,Health Care,S&P 500,144667492352,205.79,788535832.5,NYQ,EQUITY,0.15948,4325125120.0,0.07605,0.055,1.651,roe=0.07605
DRI,Darden Restaurants,Consumer Discretionary,S&P 500,25851187200,227.68,267032211.2,NYQ,EQUITY,0.09134,790974976.0,0.53718,0.137,0.314,current_ratio=0.314
DDOG,Datadog,Information Technology,S&P 500,86504759296,240.91,1642673744.2,NMS,EQUITY,0.044770002,1051412352.0,0.04696,0.356,3.205,roe=0.04696
DE,Deere & Company,Industrials,S&P 500,167404404736,619.77,597669001.8,NYQ,EQUITY,0.10104,1098749952.0,0.18349001,-0.111,2.213,revenue_growth=-0.111
DELL,Dell Technologies,Information Technology,S&P 500,313056002048,484.5,2798379945.0,NYQ,EQUITY,0.062750004,5434124800.0,,0.875,0.946,roe=None; current_ratio=0.946
DAL,Delta Air Lines,Industrials,S&P 500,59140038656,89.93,401580616.4,NYQ,EQUITY,0.05784,2817374976.0,0.20125,0.187,0.424,current_ratio=0.424
DVN,Devon Energy,Energy,S&P 500,49345998848,44.86,467871407.4,NYQ,EQUITY,0.17464,782625024.0,0.11522,0.642,0.717,current_ratio=0.717
FANG,Diamondback Energy,Energy,S&P 500,56498966528,200.84,382803048.4,NMS,EQUITY,0.09029,5035500032.0,0.034930002,0.525,0.467,roe=0.034930002; current_ratio=0.467
DLR,Digital Realty,Real Estate,S&P 500,74232733696,197.06,432659024.2,NYQ,EQUITY,0.11825,3768482048.0,0.02912,0.299,0.89,roe=0.02912; current_ratio=0.89
D,Dominion Energy,Utilities,S&P 500,59842945024,68.04,255516735.6,NYQ,EQUITY,0.13984999,-9181124608.0,0.08281,0.176,0.809,free_cash_flow=-9181124608; roe=0.08281; current_ratio=0.809
DPZ,Domino's,Consumer Discretionary,S&P 500,11701671936,353.72,260854351.2,NMS,EQUITY,0.118640006,531496512.0,,0.043,1.538,roe=None
DASH,DoorDash,Consumer Discretionary,S&P 500,92070993920,212.49,1019554643.7,NMS,EQUITY,0.05292,5147500032.0,0.088870004,0.356,1.368,roe=0.088870004
DOW,Dow Inc.,Materials,S&P 500,22081955840,30.57,266042150.4,NYQ,EQUITY,-0.03129,237624992.0,-0.0554,0.197,1.749,profit_margin=-0.03129; roe=-0.0554
DTE,DTE Energy,Utilities,S&P 500,28857651200,138.68,195408440.8,NYQ,EQUITY,0.07999,-2596624896.0,0.1103,-0.015,0.802,free_cash_flow=-2596624896; revenue_growth=-0.015; current_ratio=0.802
DUK,Duke Energy,Utilities,S&P 500,96285425664,123.49,719339129.1999999,NYQ,EQUITY,0.15995,-4477374976.0,0.098570004,0.011,0.661,free_cash_flow=-4477374976; roe=0.098570004; current_ratio=0.661
DD,DuPont,Industrials,S&P 500,19492751360,144.37,335198266.0,NYQ,EQUITY,0.00787,1835250048.0,0.01792,0.04,2.427,roe=0.01792
ECHO,EchoStar,Communication Services,S&P 500,26870390784,92.5,472983950.0,NMS,EQUITY,-0.38712,-18870501376.0,-0.33428,-0.04,5.201,profit_margin=-0.38712; free_cash_flow=-18870501376; roe=-0.33428; revenue_growth=-0.04
EIX,Edison International,Utilities,S&P 500,26706092032,69.4,287511014.0,NYQ,EQUITY,0.19281,82375000.0,0.19734,-0.041,0.662,revenue_growth=-0.041; current_ratio=0.662
EW,Edwards Lifesciences,Health Care,S&P 500,53578190848,93.05,324333219.0,NYQ,EQUITY,0.15431,1232412544.0,0.09175,0.136,4.522,roe=0.09175
EMR,Emerson Electric,Industrials,S&P 500,91744378880,163.8,587532582.0,NYQ,EQUITY,0.13828,3706249984.0,0.128,0.07,0.896,current_ratio=0.896
ETR,Entergy,Utilities,S&P 500,50326204416,107.85,276937230.0,NYQ,EQUITY,0.13329001,-4400858112.0,0.10248999,0.059,0.912,free_cash_flow=-4400858112; current_ratio=0.912
EQT,EQT Corporation,Energy,S&P 500,33815398400,54.06,306366129.0,NYQ,EQUITY,0.29176,2460903936.0,0.11078,-0.039,0.673,revenue_growth=-0.039; current_ratio=0.673
EFX,Equifax,Industrials,S&P 500,21201326080,180.46,214962147.4,NYQ,EQUITY,0.10729,947537472.0,0.14275,0.106,0.602,current_ratio=0.602
EQR,Equity Residential,Real Estate,S&P 500,24903776256,64.42,185936734.4,NYQ,EQUITY,0.27974,1423153408.0,0.080240004,0.021,0.127,roe=0.080240004; current_ratio=0.127
ESS,Essex Property Trust,Real Estate,S&P 500,19386869760,281.27,121564894.0,NYQ,EQUITY,0.20893,1043926720.0,0.0771,0.031,0.249,roe=0.0771; current_ratio=0.249
EL,Estée Lauder Companies (The),Consumer Staples,S&P 500,31722178560,87.68,215035200.00000003,NYQ,EQUITY,-0.01672,1807624960.0,-0.05949,0.046,1.268,profit_margin=-0.01672; roe=-0.05949
EG,Everest Group,Financials,S&P 500,13944102912,363.67,129299231.8,NYQ,EQUITY,0.11376,2064625024.0,0.12572,-0.113,0.388,revenue_growth=-0.113; current_ratio=0.388
EVRG,Evergy,Utilities,S&P 500,19210856448,83.32,169030450.79999998,NMS,EQUITY,0.15192,-1443362560.0,0.092539996,0.044,0.359,free_cash_flow=-1443362560; roe=0.092539996; current_ratio=0.359
ES,Eversource Energy,Utilities,S&P 500,26908526592,71.55,192889498.5,NYQ,EQUITY,0.10354,811961344.0,0.09016,0.023,0.8,roe=0.09016; current_ratio=0.8
EXC,Exelon,Utilities,S&P 500,46588084224,45.22,374704225.0,NMS,EQUITY,0.10989001,-2685125120.0,0.09711,0.099,1.088,free_cash_flow=-2685125120; roe=0.09711
EXE,Expand Energy,Energy,S&P 500,23032952832,96.28,265222516.0,NMS,EQUITY,0.2197,1466249984.0,0.14893,-0.106,0.959,revenue_growth=-0.106; current_ratio=0.959
EXPE,Expedia Group,Consumer Discretionary,S&P 500,39074697216,325.57,604811389.0,NMS,EQUITY,0.12968001,3434374912.0,0.89489,0.14,0.801,current_ratio=0.801
EXR,Extra Space Storage,Real Estate,S&P 500,32390303744,146.76,167649818.39999998,NYQ,EQUITY,0.2728,1499437568.0,0.06953,0.038,0.886,roe=0.06953; current_ratio=0.886
FDS,FactSet,Financials,S&P 500,9886865408,277.99,203196790.5,NYQ,EQUITY,0.2321,621161344.0,0.27032,0.064,0.683,current_ratio=0.683
FICO,Fair Isaac,Information Technology,S&P 500,22552467456,1044.21,543866336.4,NYQ,EQUITY,0.3405,774413504.0,,0.257,1.183,roe=None
FRT,Federal Realty Investment Trust,Real Estate,S&P 500,10187705344,117.21,121014636.6,NYQ,EQUITY,0.32663,456137632.0,0.12550999,0.072,0.564,current_ratio=0.564
FDXF,FedEx Freight,Industrials,S&P 500,21117941760,141.24,139615740.0,NYQ,EQUITY,0.07447,-511124992.0,0.69093,0.048,1.517,free_cash_flow=-511124992
FERG,Ferguson Enterprises,Industrials,S&P 500,47430737920,245.18,1829368889.4,NYQ,EQUITY,0.063200004,,,0.046,1.729,free_cash_flow=None; roe=None
FIS,Fidelity National Information Services,Financials,S&P 500,21667571712,41.92,334431052.8,NYQ,EQUITY,0.27648002,2653125120.0,0.22348,0.291,0.535,current_ratio=0.535
FITB,Fifth Third Bancorp,Financials,S&P 500,52590297088,58.01,299208038.7,NYQ,EQUITY,0.23239,,0.08438,0.518,,free_cash_flow=None; roe=0.08438; current_ratio=None
FSLR,First Solar,Information Technology,S&P 500,24370925568,226.77,790170994.2,NMS,EQUITY,0.32465,1598684800.0,0.18509,-0.037,2.518,revenue_growth=-0.037
FE,FirstEnergy,Utilities,S&P 500,27192047616,47.01,243420130.5,NYQ,EQUITY,0.06939,-2007124992.0,0.09491,0.088,0.541,free_cash_flow=-2007124992; roe=0.09491; current_ratio=0.541
FISV,Fiserv,Financials,S&P 500,27417892864,51.56,563158944.0,NMS,EQUITY,,,,,,profit_margin=None; free_cash_flow=None; roe=None; revenue_growth=None; current_ratio=None
F,Ford Motor Company,Consumer Discretionary,S&P 500,55148449792,13.83,639089278.8,NYQ,EQUITY,-0.03935,-7940250112.0,-0.18252,-0.038,1.089,profit_margin=-0.03935; free_cash_flow=-7940250112; roe=-0.18252; revenue_growth=-0.038
FTV,Fortive,Industrials,S&P 500,18761148416,61.54,163508703.0,NYQ,EQUITY,0.12382,939112512.0,0.07318,0.079,1.241,roe=0.07318
BEN,Franklin Resources,Financials,S&P 500,17066303488,33.59,176091544.20000002,NYQ,EQUITY,0.08717,-2990862592.0,0.07887,0.143,5.486,free_cash_flow=-2990862592; roe=0.07887
FCX,Freeport-McMoRan,Materials,S&P 500,96908001280,69.22,857390761.1999999,NYQ,EQUITY,0.113850005,2159249920.0,0.14755,-0.073,2.066,revenue_growth=-0.073
IT,Gartner,Information Technology,S&P 500,11332715520,179.46,323770964.40000004,NYQ,EQUITY,0.11996,1052553024.0,1.13581,-0.006,0.88,revenue_growth=-0.006; current_ratio=0.88
GE,GE Aerospace,Industrials,S&P 500,379052687360,365.33,1121175850.2,NYQ,EQUITY,0.17716,6594625024.0,0.48231998,0.211,0.982,current_ratio=0.982
GEV,GE Vernova,Industrials,S&P 500,276960313344,1039.9,2116352485.0,NYQ,EQUITY,0.23035,15722125312.0,0.82577,0.219,0.85,current_ratio=0.85
GEN,Gen Digital,Information Technology,S&P 500,17143531520,28.64,160724243.20000002,NMS,EQUITY,0.20732,1547124992.0,0.41944,0.063,0.466,current_ratio=0.466
GNRC,Generac,Industrials,S&P 500,13093351424,221.9,278144993.0,NYQ,EQUITY,0.05817,289056512.0,0.09491,0.106,2.045,roe=0.09491
GIS,General Mills,Consumer Staples,S&P 500,20376985600,38.18,323164683.2,NYQ,EQUITY,-0.00475,2308499968.0,-0.01028,0.022,0.682,profit_margin=-0.00475; roe=-0.01028; current_ratio=0.682
GM,General Motors,Consumer Discretionary,S&P 500,78470217728,86.76,454917384.0,NYQ,EQUITY,0.01051,21933750272.0,0.03164,0.019,1.136,roe=0.03164
GPC,Genuine Parts Company,Consumer Discretionary,S&P 500,18474586112,134.01,158167982.7,NYQ,EQUITY,0.00131,917241984.0,0.0070700003,0.06,1.159,roe=0.0070700003
GILD,Gilead Sciences,Health Care,S&P 500,168472707072,135.87,1055739791.4,NMS,EQUITY,-0.10637999,9768875008.0,-0.2068,0.102,1.265,profit_margin=-0.10637999; roe=-0.2068
GPN,Global Payments,Financials,S&P 500,23426664448,88.53,311873484.0,NYQ,EQUITY,-0.091529995,7867763200.0,0.02428,0.686,0.825,profit_margin=-0.091529995; roe=0.02428; current_ratio=0.825
GL,Globe Life,Financials,S&P 500,13813779456,177.91,110748975.0,NYQ,EQUITY,0.19577,1163503360.0,0.20944999,0.08,0.795,current_ratio=0.795
GDDY,GoDaddy,Information Technology,S&P 500,11628791808,91.82,245643291.4,NYQ,EQUITY,0.17834999,1204950016.0,4.42861,0.066,0.632,current_ratio=0.632
GS,Goldman Sachs,Financials,S&P 500,302005878784,1037.21,1912013658.2,NYQ,EQUITY,0.31039,,0.16902,0.425,1.563,free_cash_flow=None
HCA,HCA Healthcare,Health Care,S&P 500,91972567040,414.59,477164068.7,NYQ,EQUITY,0.08768,3738125056.0,,0.087,0.993,roe=None; current_ratio=0.993
DOC,Healthpeak Properties,Real Estate,S&P 500,14646850560,20.66,131837864.6,NYQ,EQUITY,0.08248,1645113088.0,0.03039,0.111,2.286,roe=0.03039
HSIC,Henry Schein,Health Care,S&P 500,10336806912,90.74,130987727.0,NMS,EQUITY,0.02963,446000000.0,0.088549994,0.067,1.319,roe=0.088549994
HPE,Hewlett Packard Enterprise,Information Technology,S&P 500,77849927680,58.79,1046996401.1,NYQ,EQUITY,0.040110003,3836000000.0,0.06315,0.4,1.088,roe=0.06315
HLT,Hilton Worldwide,Consumer Discretionary,S&P 500,72590188544,322.53,672129942.9,NYQ,EQUITY,0.31034002,1393874944.0,,0.025,0.649,roe=None; current_ratio=0.649
HONA,Honeywell Aerospace,Industrials,S&P 500,53182488576,167.8,955379368.0,NMS,EQUITY,0.10862,,,0.054,1.526,free_cash_flow=None; roe=None
HRL,Hormel Foods,Consumer Staples,S&P 500,13421431808,24.39,80124076.8,NYQ,EQUITY,0.03821,471169760.0,0.05831,-0.029,1.938,roe=0.05831; revenue_growth=-0.029
HPQ,HP Inc.,Information Technology,S&P 500,26777225216,29.28,424119921.6,NYQ,EQUITY,0.044460002,3450874880.0,,0.09,0.794,roe=None; current_ratio=0.794
HUM,Humana,Health Care,S&P 500,46690824192,388.83,551399823.0,NYQ,EQUITY,0.00878,1940999936.0,0.06893,0.262,1.742,roe=0.06893
HBAN,Huntington Bancshares,Financials,S&P 500,36084609024,17.86,428695187.4,NMS,EQUITY,0.26131,,0.09002,0.476,,free_cash_flow=None; roe=0.09002; current_ratio=None
HII,Huntington Ingalls Industries,Industrials,S&P 500,12877422592,326.8,197040792.0,NYQ,EQUITY,0.05013,-300249984.0,0.12968001,0.109,1.23,free_cash_flow=-300249984
IBM,IBM,Information Technology,S&P 500,222324867072,235.98,1569635128.8,NYQ,EQUITY,0.15522,12049750016.0,0.34460998,0.011,0.791,current_ratio=0.791
